gene,phase,r_SciPlex3,p_value,r_mean
MKI67,G2M,0.47414623691411617,0.0,0.47414623691411617
TOP2A,G2M,0.4026433184228416,0.0,0.4026433184228416
CENPF,G2M,0.3920484663976015,0.0,0.3920484663976015
TPX2,G2M,0.3662819788756125,0.0,0.3662819788756125
CENPE,G2M,0.319833791019255,0.0,0.319833791019255
ANLN,G2M,0.312475964238338,0.0,0.312475964238338
SMC4,G2M,0.30402385687202493,0.0,0.30402385687202493
NUSAP1,G2M,0.30381381757289283,0.0,0.30381381757289283
CDC25C,G2M,0.2718510270482829,0.0,0.2718510270482829
KIF2C,G2M,0.2672032270530286,0.0,0.2672032270530286
KIF11,G2M,0.26508828296663767,0.0,0.26508828296663767
HMMR,G2M,0.2617265892711967,0.0,0.2617265892711967
KIF20B,G2M,0.25412394605674865,0.0,0.25412394605674865
TACC3,G2M,0.25349900223142974,0.0,0.25349900223142974
BUB1,G2M,0.25336094028893885,0.0,0.25336094028893885
DLGAP5,G2M,0.2521291156597389,0.0,0.2521291156597389
TMPO,G2M,0.2512563908483878,0.0,0.2512563908483878
NCAPD2,G2M,0.24992439914866332,0.0,0.24992439914866332
AURKA,G2M,0.24155739402633356,0.0,0.24155739402633356
GTSE1,G2M,0.24064755834042573,0.0,0.24064755834042573
NDC80,G2M,0.23550336345316483,0.0,0.23550336345316483
CDCA2,G2M,0.23378419958475505,0.0,0.23378419958475505
KIF23,G2M,0.22977021121719626,0.0,0.22977021121719626
CKAP5,G2M,0.22874004365767397,0.0,0.22874004365767397
CDK1,G2M,0.204850525315802,0.0,0.204850525315802
BIRC5,G2M,0.19673634645496668,0.0,0.19673634645496668
TUBB4B,G2M,0.19580653542550497,0.0,0.19580653542550497
CBX5,G2M,0.19503207341584183,0.0,0.19503207341584183
CDCA8,G2M,0.19302680572421024,0.0,0.19302680572421024
CKAP2L,G2M,0.19233007011691033,0.0,0.19233007011691033
AURKB,G2M,0.19015515419393336,0.0,0.19015515419393336
ECT2,G2M,0.18865980881798347,0.0,0.18865980881798347
TTK,G2M,0.1846276997440044,0.0,0.1846276997440044
GAS2L3,G2M,0.17303705633062577,0.0,0.17303705633062577
HMGB2,G2M,0.16180931943407809,0.0,0.16180931943407809
NUF2,G2M,0.15436125866214342,0.0,0.15436125866214342
CCNB2,G2M,0.1522872809258643,0.0,0.1522872809258643
CKAP2,G2M,0.1491699379484411,0.0,0.1491699379484411
G2E3,G2M,0.14822117150278083,0.0,0.14822117150278083
LBR,G2M,0.144379763514774,0.0,0.144379763514774
HJURP,G2M,0.1422774126360428,0.0,0.1422774126360428
UBE2C,G2M,0.13545282423206695,0.0,0.13545282423206695
CKS2,G2M,0.12800456383170863,0.0,0.12800456383170863
CDC20,G2M,0.11921769132602855,0.0,0.11921769132602855
NEK2,G2M,0.11195418802594669,0.0,0.11195418802594669
CTCF,G2M,0.11180655063060245,0.0,0.11180655063060245
RANGAP1,G2M,0.1083678011147985,0.0,0.1083678011147985
CDCA3,G2M,0.10619764393819756,0.0,0.10619764393819756
ANP32E,G2M,0.09381429831743651,0.0,0.09381429831743651
PIMREG,G2M,0.08847382006637108,0.0,0.08847382006637108
PSRC1,G2M,0.0854995110843325,0.0,0.0854995110843325
CKS1B,G2M,0.07708663667195151,0.0,0.07708663667195151
JPT1,G2M,0.07503328158758886,0.0,0.07503328158758886
CENPA,G2M,0.05847039519666529,0.0,0.05847039519666529
ATAD2,S,0.3398883345991518,0.0,0.3398883345991518
BLM,S,0.23905921471652197,0.0,0.23905921471652197
MCM4,S,0.21499895028988827,0.0,0.21499895028988827
CLSPN,S,0.20862797250118084,0.0,0.20862797250118084
RRM2,S,0.20690323732098853,0.0,0.20690323732098853
HELLS,S,0.19940443152139176,0.0,0.19940443152139176
MCM7,S,0.18845410232420837,0.0,0.18845410232420837
RRM1,S,0.1819733798589672,0.0,0.1819733798589672
EXO1,S,0.18097977704312596,0.0,0.18097977704312596
POLA1,S,0.17504481585533366,0.0,0.17504481585533366
CDC45,S,0.16869031469402573,0.0,0.16869031469402573
BRIP1,S,0.1661794278622295,0.0,0.1661794278622295
USP1,S,0.16118548222133464,0.0,0.16118548222133464
DTL,S,0.15769410954940669,0.0,0.15769410954940669
CENPU,S,0.14888803459482114,0.0,0.14888803459482114
NASP,S,0.1467350529088496,0.0,0.1467350529088496
DSCC1,S,0.14220243712667552,0.0,0.14220243712667552
MCM6,S,0.1414279454218565,0.0,0.1414279454218565
RFC2,S,0.1387549098596813,0.0,0.1387549098596813
CASP8AP2,S,0.13698843520586082,0.0,0.13698843520586082
TYMS,S,0.13520187759870203,0.0,0.13520187759870203
MSH2,S,0.1327401838457984,0.0,0.1327401838457984
GINS2,S,0.1320020033868947,0.0,0.1320020033868947
WDR76,S,0.12874636720341867,0.0,0.12874636720341867
RAD51,S,0.12797326979240056,0.0,0.12797326979240056
PRIM1,S,0.12727381808216665,0.0,0.12727381808216665
GMNN,S,0.12558151721542943,0.0,0.12558151721542943
PCNA,S,0.12556566271957714,0.0,0.12556566271957714
CCNE2,S,0.12247742521092891,0.0,0.12247742521092891
MCM5,S,0.12127336440588597,0.0,0.12127336440588597
UHRF1,S,0.1194426498168322,0.0,0.1194426498168322
RAD51AP1,S,0.1086360376725431,0.0,0.1086360376725431
E2F8,S,0.10183435095919245,0.0,0.10183435095919245
FEN1,S,0.09959965916111094,0.0,0.09959965916111094
RPA2,S,0.09810898596952866,0.0,0.09810898596952866
POLD3,S,0.0963338011555998,0.0,0.0963338011555998
MCM2,S,0.09417682974023889,0.0,0.09417682974023889
CDC6,S,0.09225633184262706,0.0,0.09225633184262706
CHAF1B,S,0.08809326244502093,0.0,0.08809326244502093
SLBP,S,0.0722681825692313,0.0,0.0722681825692313
UBR7,S,0.07111657198086563,0.0,0.07111657198086563
UNG,S,0.06253226665230104,0.0,0.06253226665230104
POLR1B,S,0.049479258915065966,0.0,0.049479258915065966
TIPIN,S,0.04161663758984448,2.5832964983000603e-221,0.04161663758984448
CDCA7,S,0.03916324804374479,3.2830122163083597e-196,0.03916324804374479
MRPL36,S,0.029231243676484706,3.642066568840084e-110,0.029231243676484706
