gene,phase,dataset,spearman_r,p_value
MCM5,S,SciPlex3,0.12127336440588597,0.0
PCNA,S,SciPlex3,0.12556566271957714,0.0
TYMS,S,SciPlex3,0.13520187759870203,0.0
FEN1,S,SciPlex3,0.09959965916111094,0.0
MCM7,S,SciPlex3,0.18845410232420837,0.0
MCM4,S,SciPlex3,0.21499895028988827,0.0
RRM1,S,SciPlex3,0.1819733798589672,0.0
UNG,S,SciPlex3,0.06253226665230104,0.0
GINS2,S,SciPlex3,0.1320020033868947,0.0
MCM6,S,SciPlex3,0.1414279454218565,0.0
CDCA7,S,SciPlex3,0.03916324804374479,3.2830122163083597e-196
DTL,S,SciPlex3,0.15769410954940669,0.0
PRIM1,S,SciPlex3,0.12727381808216665,0.0
UHRF1,S,SciPlex3,0.1194426498168322,0.0
CENPU,S,SciPlex3,0.14888803459482114,0.0
HELLS,S,SciPlex3,0.19940443152139176,0.0
RFC2,S,SciPlex3,0.1387549098596813,0.0
POLR1B,S,SciPlex3,0.049479258915065966,0.0
NASP,S,SciPlex3,0.1467350529088496,0.0
RAD51AP1,S,SciPlex3,0.1086360376725431,0.0
GMNN,S,SciPlex3,0.12558151721542943,0.0
WDR76,S,SciPlex3,0.12874636720341867,0.0
SLBP,S,SciPlex3,0.0722681825692313,0.0
CCNE2,S,SciPlex3,0.12247742521092891,0.0
UBR7,S,SciPlex3,0.07111657198086563,0.0
POLD3,S,SciPlex3,0.0963338011555998,0.0
MSH2,S,SciPlex3,0.1327401838457984,0.0
ATAD2,S,SciPlex3,0.3398883345991518,0.0
RAD51,S,SciPlex3,0.12797326979240056,0.0
RRM2,S,SciPlex3,0.20690323732098853,0.0
CDC45,S,SciPlex3,0.16869031469402573,0.0
CDC6,S,SciPlex3,0.09225633184262706,0.0
EXO1,S,SciPlex3,0.18097977704312596,0.0
TIPIN,S,SciPlex3,0.04161663758984448,2.5832964983000603e-221
DSCC1,S,SciPlex3,0.14220243712667552,0.0
BLM,S,SciPlex3,0.23905921471652197,0.0
CASP8AP2,S,SciPlex3,0.13698843520586082,0.0
USP1,S,SciPlex3,0.16118548222133464,0.0
CLSPN,S,SciPlex3,0.20862797250118084,0.0
POLA1,S,SciPlex3,0.17504481585533366,0.0
CHAF1B,S,SciPlex3,0.08809326244502093,0.0
BRIP1,S,SciPlex3,0.1661794278622295,0.0
E2F8,S,SciPlex3,0.10183435095919245,0.0
MCM2,S,SciPlex3,0.09417682974023889,0.0
RPA2,S,SciPlex3,0.09810898596952866,0.0
MRPL36,S,SciPlex3,0.029231243676484706,3.642066568840084e-110
HMGB2,G2M,SciPlex3,0.16180931943407809,0.0
CDK1,G2M,SciPlex3,0.204850525315802,0.0
NUSAP1,G2M,SciPlex3,0.30381381757289283,0.0
UBE2C,G2M,SciPlex3,0.13545282423206695,0.0
BIRC5,G2M,SciPlex3,0.19673634645496668,0.0
TPX2,G2M,SciPlex3,0.3662819788756125,0.0
TOP2A,G2M,SciPlex3,0.4026433184228416,0.0
NDC80,G2M,SciPlex3,0.23550336345316483,0.0
CKS2,G2M,SciPlex3,0.12800456383170863,0.0
NUF2,G2M,SciPlex3,0.15436125866214342,0.0
CKS1B,G2M,SciPlex3,0.07708663667195151,0.0
MKI67,G2M,SciPlex3,0.47414623691411617,0.0
TMPO,G2M,SciPlex3,0.2512563908483878,0.0
CENPF,G2M,SciPlex3,0.3920484663976015,0.0
TACC3,G2M,SciPlex3,0.25349900223142974,0.0
PIMREG,G2M,SciPlex3,0.08847382006637108,0.0
SMC4,G2M,SciPlex3,0.30402385687202493,0.0
CCNB2,G2M,SciPlex3,0.1522872809258643,0.0
CKAP2L,G2M,SciPlex3,0.19233007011691033,0.0
CKAP2,G2M,SciPlex3,0.1491699379484411,0.0
AURKB,G2M,SciPlex3,0.19015515419393336,0.0
BUB1,G2M,SciPlex3,0.25336094028893885,0.0
KIF11,G2M,SciPlex3,0.26508828296663767,0.0
ANP32E,G2M,SciPlex3,0.09381429831743651,0.0
TUBB4B,G2M,SciPlex3,0.19580653542550497,0.0
GTSE1,G2M,SciPlex3,0.24064755834042573,0.0
KIF20B,G2M,SciPlex3,0.25412394605674865,0.0
HJURP,G2M,SciPlex3,0.1422774126360428,0.0
CDCA3,G2M,SciPlex3,0.10619764393819756,0.0
JPT1,G2M,SciPlex3,0.07503328158758886,0.0
CDC20,G2M,SciPlex3,0.11921769132602855,0.0
TTK,G2M,SciPlex3,0.1846276997440044,0.0
CDC25C,G2M,SciPlex3,0.2718510270482829,0.0
KIF2C,G2M,SciPlex3,0.2672032270530286,0.0
RANGAP1,G2M,SciPlex3,0.1083678011147985,0.0
NCAPD2,G2M,SciPlex3,0.24992439914866332,0.0
DLGAP5,G2M,SciPlex3,0.2521291156597389,0.0
CDCA2,G2M,SciPlex3,0.23378419958475505,0.0
CDCA8,G2M,SciPlex3,0.19302680572421024,0.0
ECT2,G2M,SciPlex3,0.18865980881798347,0.0
KIF23,G2M,SciPlex3,0.22977021121719626,0.0
HMMR,G2M,SciPlex3,0.2617265892711967,0.0
AURKA,G2M,SciPlex3,0.24155739402633356,0.0
PSRC1,G2M,SciPlex3,0.0854995110843325,0.0
ANLN,G2M,SciPlex3,0.312475964238338,0.0
LBR,G2M,SciPlex3,0.144379763514774,0.0
CKAP5,G2M,SciPlex3,0.22874004365767397,0.0
CENPE,G2M,SciPlex3,0.319833791019255,0.0
CTCF,G2M,SciPlex3,0.11180655063060245,0.0
NEK2,G2M,SciPlex3,0.11195418802594669,0.0
G2E3,G2M,SciPlex3,0.14822117150278083,0.0
GAS2L3,G2M,SciPlex3,0.17303705633062577,0.0
CBX5,G2M,SciPlex3,0.19503207341584183,0.0
CENPA,G2M,SciPlex3,0.05847039519666529,0.0
